country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Uganda,6,13,inter_group,672,84,0.024115631614732572,0.00028709085255634013,56448
Uganda,6,14,inter_group,672,53,0.008524761031350608,0.00016084454776133224,35616
Uganda,6,15,inter_group,672,35,0.0039050001206733746,0.00011157143201923928,23520
Uganda,7,8,inter_group,494,361,0.29029477215573884,0.0008041406430906893,178334
Uganda,7,9,inter_group,494,287,0.15407700570754193,0.000536853678423491,141778
Uganda,7,10,inter_group,494,232,0.078945517343362,0.0003402824023420776,114608
Uganda,7,11,inter_group,494,172,0.07014318954524422,0.00040780924154211755,84968
Uganda,7,12,inter_group,494,121,0.04808780376682974,0.0003974198658415681,59774
Uganda,7,13,inter_group,494,84,0.04071729938943765,0.00048472975463616246,41496
Uganda,7,14,inter_group,494,53,0.015757258556779414,0.0002973067652222531,26182
Uganda,7,15,inter_group,494,35,0.0057355132093305705,0.00016387180598087344,17290
Uganda,8,9,inter_group,361,287,0.17534547121189412,0.0006109598300065997,103607
Uganda,8,10,inter_group,361,232,0.1029136807631429,0.0004435934515652711,83752
Uganda,8,11,inter_group,361,172,0.05088709924288152,0.0002958552281562879,62092
Uganda,8,12,inter_group,361,121,0.03575832657743465,0.000295523360144088,43681
Uganda,8,13,inter_group,361,84,0.03225976589501734,0.00038404483208353976,30324
Uganda,8,14,inter_group,361,53,0.008502934530923939,0.00016043272699856488,19133
Uganda,8,15,inter_group,361,35,0.008050690881841693,0.00023001973948119121,12635
Uganda,9,10,inter_group,287,232,0.15200543403331726,0.0006551958363505055,66584
Uganda,9,11,inter_group,287,172,0.07324519014057235,0.00042584412872425785,49364
Uganda,9,12,inter_group,287,121,0.03475350831049285,0.00028721907694622187,34727
Uganda,9,13,inter_group,287,84,0.022319496971145793,0.00026570829727554513,24108
Uganda,9,14,inter_group,287,53,0.017721297786980002,0.0003343641091883019,15211
Uganda,9,15,inter_group,287,35,0.011482051084313697,0.00032805860240896277,10045
Uganda,10,11,inter_group,232,172,0.1281422229591323,0.0007450129241810018,39904
Uganda,10,12,inter_group,232,121,0.044166275711526475,0.0003650105430704667,28072
Uganda,10,13,inter_group,232,84,0.027247251407764912,0.0003243720405686299,19488
Uganda,10,14,inter_group,232,53,0.017568720892777463,0.0003314852998637257,12296
Uganda,10,15,inter_group,232,35,0.014405698359975372,0.00041159138171358207,8120
Uganda,11,12,inter_group,172,121,0.10161765642679543,0.0008398153423702101,20812
Uganda,11,13,inter_group,172,84,0.042592944287816736,0.0005070588605692468,14448
Uganda,11,14,inter_group,172,53,0.022850031446908888,0.00043113266880960165,9116
Uganda,11,15,inter_group,172,35,0.020079637027784394,0.0005737039150795541,6020
Uganda,12,13,inter_group,121,84,0.07123903279482827,0.0008480837237479556,10164
Uganda,12,14,inter_group,121,53,0.03234986306907166,0.0006103747748881444,6413
Uganda,12,15,inter_group,121,35,0.007049859655006867,0.00020142456157162477,4235
Uganda,13,14,inter_group,84,53,0.055668731613101444,0.0010503534266622914,4452
Uganda,13,15,inter_group,84,35,0.014620639332001976,0.00041773255234291357,2940
Uganda,14,15,inter_group,53,35,0.03519387443389633,0.0010055392695398951,1855
