country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Qatar,1,11,inter_group,556,321,0.15608532266036373,0.0004862471110914758,178476
Qatar,1,12,inter_group,556,189,0.04577637383365727,0.0002422030361569168,105084
Qatar,1,13,inter_group,556,88,0.016335803433822176,0.00018563412992979745,48928
Qatar,1,14,inter_group,556,38,0.005847869807025575,0.00015389131071119936,21128
Qatar,1,15,inter_group,556,35,0.00762558215924031,0.00021787377597829458,19460
Qatar,2,3,inter_group,519,377,0.8336274261085268,0.002211213331852856,195663
Qatar,2,4,inter_group,519,379,0.27366173940367866,0.0007220626369490202,196701
Qatar,2,5,inter_group,519,1118,0.4915852712895568,0.0004397006004378862,580242
Qatar,2,6,inter_group,519,1615,2.0641261230419823,0.0012780966706142304,838185
Qatar,2,7,inter_group,519,1612,2.764615529729427,0.0017150220407750787,836628
Qatar,2,8,inter_group,519,1262,1.9904948190304566,0.0015772542147626438,654978
Qatar,2,9,inter_group,519,844,0.675264642900173,0.000800076591113949,438036
Qatar,2,10,inter_group,519,552,0.33927768127169833,0.0006146334805646709,286488
Qatar,2,11,inter_group,519,321,0.11348910793431757,0.00035354862284834134,166599
Qatar,2,12,inter_group,519,189,0.025358120095508693,0.0001341699475952841,98091
Qatar,2,13,inter_group,519,88,0.01215829261097091,0.00013816241603376034,45672
Qatar,2,14,inter_group,519,38,0.006937355108925339,0.00018256197655066683,19722
Qatar,2,15,inter_group,519,35,0.005994802146437716,0.00017128006132679187,18165
Qatar,3,4,inter_group,377,379,1.5737686278111858,0.004152423820082284,142883
Qatar,3,5,inter_group,377,1118,1.4477432700393098,0.0012949403130941947,421486
Qatar,3,6,inter_group,377,1615,1.2572890249022513,0.0007785071361623846,608855
Qatar,3,7,inter_group,377,1612,1.7338344180510756,0.0010755796638033967,607724
Qatar,3,8,inter_group,377,1262,2.30130509326049,0.0018235381087642552,475774
Qatar,3,9,inter_group,377,844,1.4395232267530864,0.0017055962402287754,318188
Qatar,3,10,inter_group,377,552,0.5156641455596116,0.0009341741767384268,208104
Qatar,3,11,inter_group,377,321,0.1646230588349402,0.0005128444200465426,121017
Qatar,3,12,inter_group,377,189,0.043593339069153504,0.00023065258766747886,71253
Qatar,3,13,inter_group,377,88,0.008133418358918587,9.242520862407485e-05,33176
Qatar,3,14,inter_group,377,38,0.003898159322389728,0.00010258314006288759,14326
Qatar,3,15,inter_group,377,35,0.005009248127079738,0.0001431213750594211,13195
Qatar,4,5,inter_group,379,1118,8.150665328299745,0.007290398325849504,423722
Qatar,4,6,inter_group,379,1615,4.801154765263573,0.0029728512478412214,612085
Qatar,4,7,inter_group,379,1612,2.573185450595572,0.0015962688899476252,610948
Qatar,4,8,inter_group,379,1262,1.9500661414299019,0.001545218812543504,478298
Qatar,4,9,inter_group,379,844,1.417769904056585,0.0016798221612044845,319876
Qatar,4,10,inter_group,379,552,0.7804120138830499,0.0014137898802229166,209208
Qatar,4,11,inter_group,379,321,0.2539397188103304,0.0007910894666988485,121659
Qatar,4,12,inter_group,379,189,0.05181397370545513,0.00027414800902357214,71631
Qatar,4,13,inter_group,379,88,0.012347618779916789,0.00014031384977178168,33352
Qatar,4,14,inter_group,379,38,0.008634997175587002,0.0002272367677786053,14402
Qatar,4,15,inter_group,379,35,0.011665330228362383,0.00033329514938178233,13265
Qatar,5,6,inter_group,1118,1615,4.9649880018496955,0.0030742959763775204,1805570
Qatar,5,7,inter_group,1118,1612,2.827505969420776,0.0017540359611791414,1802216
Qatar,5,8,inter_group,1118,1262,1.3213145371913049,0.001047000425666644,1410916
Qatar,5,9,inter_group,1118,844,0.7484315085320921,0.0008867671902039006,943592
Qatar,5,10,inter_group,1118,552,0.6971448911117788,0.0012629436433184398,617136
Qatar,5,11,inter_group,1118,321,0.32710407380547346,0.001019015806247581,358878
Qatar,5,12,inter_group,1118,189,0.1048608990367026,0.0005548195716227651,211302
Qatar,5,13,inter_group,1118,88,0.027569193026123744,0.0003132862843877698,98384
Qatar,5,14,inter_group,1118,38,0.005733078361404502,0.0001508704831948553,42484
Qatar,5,15,inter_group,1118,35,0.014429944214941771,0.00041228412042690777,39130
Qatar,6,7,inter_group,1615,1612,3.2077114778171043,0.0019898954577029183,2603380
Qatar,6,8,inter_group,1615,1262,1.4699937825012164,0.0011648128229011223,2038130
Qatar,6,9,inter_group,1615,844,0.5932101133605026,0.0007028555845503585,1363060
Qatar,6,10,inter_group,1615,552,0.3914653097634239,0.0007091762858033041,891480
Qatar,6,11,inter_group,1615,321,0.25208983446692096,0.0007853265871243644,518415
Qatar,6,12,inter_group,1615,189,0.10970580507661477,0.0005804539951143638,305235
Qatar,6,13,inter_group,1615,88,0.029016995081052932,0.00032973858046651057,142120
Qatar,6,14,inter_group,1615,38,0.011453218107180951,0.00030140047650476187,61370
Qatar,6,15,inter_group,1615,35,0.010701567304330842,0.00030575906583802406,56525
Qatar,7,8,inter_group,1612,1262,1.7372010105484628,0.001376545967154091,2034344
Qatar,7,9,inter_group,1612,844,0.6256249762243485,0.0007412618201710291,1360528
Qatar,7,10,inter_group,1612,552,0.2567606554612005,0.00046514611496594296,889824
Qatar,7,11,inter_group,1612,321,0.1448458285863901,0.0004512331108610284,517452
Qatar,7,12,inter_group,1612,189,0.08936465406908928,0.00047282885750840885,304668
Qatar,7,13,inter_group,1612,88,0.0468768686830592,0.0005326916895802182,141856
Qatar,7,14,inter_group,1612,38,0.02101817341020624,0.0005531098265843748,61256
Qatar,7,15,inter_group,1612,35,0.007055283733459849,0.00020157953524170996,56420
Qatar,8,9,inter_group,1262,844,0.6468149916890907,0.0007663684735652734,1065128
Qatar,8,10,inter_group,1262,552,0.26074008747254834,0.0004723552309285296,696624
Qatar,8,11,inter_group,1262,321,0.0812601961490689,0.0002531470285017723,405102
Qatar,8,12,inter_group,1262,189,0.05267815662132132,0.0002787204054038165,238518
Qatar,8,13,inter_group,1262,88,0.03473954509551263,0.0003947675579035526,111056
Qatar,8,14,inter_group,1262,38,0.015052598916630383,0.0003961210241218522,47956
Qatar,8,15,inter_group,1262,35,0.010291128143606183,0.0002940322326744624,44170
Qatar,9,10,inter_group,844,552,0.32418695555617194,0.0005872952093408912,465888
Qatar,9,11,inter_group,844,321,0.08015136175081188,0.0002496927157346164,270924
Qatar,9,12,inter_group,844,189,0.02650540942849412,0.00014024026152642392,159516
Qatar,9,13,inter_group,844,88,0.013619788089786847,0.00015477031920212327,74272
