Country,Beta_Used,R0,Final_Size,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Young_Avg,Middle_Avg,Middle2_Avg,Old_Avg,Rank
Bhutan,0.058,2.9715408608177176,0.8483815034364396,0.8123697455217518,0.9471931458544256,0.9641402725873764,0.9762532827357396,0.9386772373295804,0.9168617511532804,0.8908951114237811,0.8717501777636726,0.8724956937426065,0.8382912696086048,0.832595397116195,0.7657483868506845,0.5728589577313785,0.3879544156616483,0.3418583865402779,0.2404001337750702,0.9249891116748233,0.9045460694175786,0.8272826868295227,0.3857679734270938,28
Iraq,0.058,3.765205074787053,0.8975063366056075,0.8983349266331437,0.9826004345377176,0.9841975466931864,0.9917573159664992,0.9186454524774068,0.8875992902462713,0.8887275015163896,0.8974151094871209,0.8821036184219875,0.830443193117134,0.8144886546542125,0.7816640290343235,0.7260079311287986,0.4503807577145811,0.3341328356944846,0.2971199630299204,0.9642225559576367,0.8980968384317971,0.8271748738069143,0.45191037189194616,29
New Zealand,0.058,2.372682228500852,0.7426964817059027,0.7352812296620334,0.8204950610127476,0.8823913180019495,0.9496854096820992,0.8743137434043307,0.8479300563694436,0.8313051918711349,0.8624093161253554,0.8842794680102917,0.8517015134552559,0.8274417125772439,0.7408132694726149,0.5333687618329304,0.4355774858754788,0.3844270676430474,0.2791831563179813,0.8469632545897074,0.8539895769425663,0.8260589908788516,0.40813911791735946,30
Georgia,0.058,2.390067737887564,0.7601857012689753,0.6135807018110526,0.8161954342778313,0.8717493471126587,0.9531568691477712,0.898337987132885,0.886204079531985,0.861751284974801,0.8654921856554292,0.8640618145016434,0.8307308618361642,0.843824301771223,0.7640520327143203,0.6085068491475456,0.3816991150606149,0.5336590973907982,0.4461611059644644,0.8136705880873285,0.8779463843237751,0.8256672527058377,0.49250654189085574,31
Kazakhstan,0.058,2.9123356119250428,0.7980739723604646,0.7208352895866601,0.7713312902013716,0.9060582285724054,0.980053743250473,0.9543691870854154,0.9324074991808114,0.8971106842578057,0.891034506543644,0.9004854862703249,0.8761514634319016,0.8440921103278105,0.6813928977621059,0.3741264260084284,0.4393167081714044,0.3932663816133986,0.3100478995970499,0.8445696379027275,0.9187304692669191,0.8255304894480356,0.3791893538475703,32
Switzerland,0.058,2.482728931635435,0.7183952979296038,0.4985553649557532,0.8034342166570128,0.9167793053781178,0.9640247813780204,0.8696632493768769,0.87523431137029,0.8606925192485974,0.8674166567517879,0.8850223835478858,0.8602627607519389,0.8358467404221457,0.7107680222282682,0.5083300598413149,0.465560283572496,0.3992133970464958,0.3052097314038664,0.795698417092226,0.868251684186888,0.8229749767375596,0.41957836796604325,33
Thailand,0.058,2.49330335923339,0.7529503474498765,0.7622384322847909,0.8725418444345733,0.910580538109611,0.9507005338877208,0.8994422296555661,0.8930658291234511,0.8996614885362746,0.9075934304955576,0.8973458186050984,0.851844553607042,0.8222854021625464,0.7129037135763578,0.5098364604673724,0.3820764972288071,0.3243499464356155,0.2547727056789849,0.8740153371791741,0.8999407444527123,0.8210948719877612,0.36775890245269494,34
Bolivia,0.058,3.0954467647359456,0.8306153378296727,0.8121402772304209,0.9422739695735616,0.974161510103476,0.9774691609327696,0.904094439663663,0.8837996322918289,0.8795950131716018,0.8846740044811807,0.8771628813291391,0.8374400441068806,0.8282685244172606,0.7344681461671847,0.5821917775858909,0.3118725294692078,0.2548460927079178,0.1586004529179721,0.926511229460057,0.8880407724020686,0.8193348990051162,0.3268777131702471,35
Bahrain,0.058,2.828594605247019,0.8642187288713172,0.8299048369422757,0.9094532948740488,0.9249528612949428,0.9424991261920116,0.9406821083689748,0.96922714156342,0.9349614817909566,0.904534031685786,0.885705100563973,0.8481162784134482,0.835674041454201,0.7039850625418055,0.4531641167346016,0.2446549515808396,0.2664823445941183,0.2094134166919681,0.9017025298258198,0.9373511908522844,0.8183701207433569,0.2934287074003819,36
Liberia,0.058,3.485743689608177,0.8961467294264934,0.8635191945085204,0.9821517596555752,0.9811554440874714,0.9787922721136804,0.912326353818216,0.8999303199684286,0.8947625130509136,0.9060119313269483,0.8804499562783746,0.8251938234983159,0.8051291535749724,0.7561666684865549,0.6667604404647848,0.5079229574187593,0.3827628159605674,0.3922749981136181,0.9514046675913118,0.9032577795411267,0.8167349004595544,0.48743030298943235,37
