country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Qatar,9,10,inter_group,844,552,1.0647903412039919,0.0019289680094275216,465888
Qatar,9,11,inter_group,844,321,0.39504209253528866,0.0012306607244089989,270924
Qatar,9,12,inter_group,844,189,0.08739788418159117,0.0004624226676274665,159516
Qatar,9,13,inter_group,844,88,0.012440807438303073,0.00014137281179889854,74272
Qatar,9,14,inter_group,844,38,0.00942735966048897,0.0002480884121181308,32072
Qatar,9,15,inter_group,844,35,0.017453545062499007,0.0004986727160714002,29540
Qatar,10,11,inter_group,552,321,0.6178197680327039,0.00192467217455671,177192
Qatar,10,12,inter_group,552,189,0.11248947773087012,0.0005951824218564557,104328
Qatar,10,13,inter_group,552,88,0.008313424629950704,9.4470734431258e-05,48576
Qatar,10,14,inter_group,552,38,0.00530882047104419,0.00013970580186958395,20976
Qatar,10,15,inter_group,552,35,0.012496415516348811,0.00035704044332425175,19320
Qatar,11,12,inter_group,321,189,0.16039890605343682,0.0008486714606001948,60669
Qatar,11,13,inter_group,321,88,0.014703909285822674,0.00016708987824798493,28248
Qatar,11,14,inter_group,321,38,0.0035545485271125518,9.35407507134882e-05,12198
Qatar,11,15,inter_group,321,35,0.0066418613678991675,0.00018976746765426194,11235
Qatar,12,13,inter_group,189,88,0.019173958841457197,0.00021788589592564996,16632
Qatar,12,14,inter_group,189,38,0.004405784468863685,0.00011594169654904435,7182
Qatar,12,15,inter_group,189,35,0.0015747845876512418,4.499384536146405e-05,6615
Qatar,13,14,inter_group,88,38,0.006333789124461115,0.00016667866117002936,3344
Qatar,13,15,inter_group,88,35,0.0026892218757891663,7.683491073683332e-05,3080
Qatar,14,15,inter_group,38,35,0.006462886052087255,0.00018465388720249299,1330
